AVG QTY Per Serving,Category,Description,Serving Size (g),Energy (kcal),Protein (g),"Fat, Total (g)",Sat. Fat (g),Trans fatty acid (g),Cholesterol (mg),Carbohydrates (g),Dietary Fibre (g),Sugars (g),Sodium (mg)
"Chicken Bacon, Egg & Cheese",Breakfast Subway 6-Inch® Subs,Values include egg omelette and sliced old english style processed cheese on multigrain bread,232,326,21.1,9.3,3.6,0,8,32.3,5,4.7,625
"Chicken Ham, Egg & Cheese",Breakfast Subway 6-Inch® Subs,Values include egg omelette and sliced old english style processed cheese on multigrain bread,252,357,24,11.5,5,0,7,33.1,4.5,5,860
"Chicken Sausage, Egg & Cheese",Breakfast Subway 6-Inch® Subs,Values include egg omelette and sliced old english style processed cheese on multigrain bread,312,493,36.5,19.6,4.5,0,0,39,4.4,4.7,1523
Egg & Cheese,Breakfast Subway 6-Inch® Subs,Values include egg omelette and sliced old english style processed cheese on multigrain bread,222,325,19.7,10.3,4.5,0,0,31.9,4.4,4.7,624
"Chicken Bacon, Egg & Cheese",Breakfast Flat Breads,Values include egg omelette and sliced old english style processed cheese on flat bread,248,370,19.6,12.1,3.8,0.1,9,44.4,3,4.6,819
"Chicken Ham, Egg & Cheese",Breakfast Flat Breads,Values include egg omelette and sliced old english style processed cheese on flat bread,269,401,22.5,14.2,5.2,0.1,8,45.2,2.5,4.8,1054
"Chicken Sausage, Egg & Cheese",Breakfast Flat Breads,Values include egg omelette and sliced old english style processed cheese on flat bread,329,537,35,22.4,4.7,0.1,0.3,51.1,2.4,4.6,1717
Egg & Cheese,Breakfast Flat Breads,Values include egg omelette and sliced old english style processed cheese on flat bread,239,369,18.2,13,4.7,0.1,0.3,44,2.4,4.6,818
"Chicken Bacon, Egg & Cheese",Breakfast 3-Inch Flat Breads,Values include egg omelette and sliced old english style processed cheese on flat bread,205,249,15.3,9.5,3.3,0,9,24.4,2.2,3.6,522
"Chicken Ham, Egg & Cheese",Breakfast 3-Inch Flat Breads,Values include egg omelette and sliced old english style processed cheese on flat bread,205,245,14.9,9.7,3.5,0,4,24.3,1.7,3.5,532
"Chicken Sausage, Egg & Cheese",Breakfast 3-Inch Flat Breads,Values include egg omelette and sliced old english style processed cheese on flat bread,235,317,21.4,13.8,3.2,0,0.2,27.4,1.7,3.5,928
Egg & Cheese,Breakfast 3-Inch Flat Breads,Values include egg omelette and sliced old english style processed cheese on flat bread,190,229,12.8,9.1,3.2,0,0.2,23.7,1.6,3.4,414
Chicken & Cheese,Toasties,Vaues include shredded mozzarella on italian white bread,94.3,200,13.9,8.7,4.8,0.3,24,19.5,1,1.6,502
Egg & Mayo with Cheese,Toasties,Vaues include shredded mozzarella on italian white bread,101,238,11.9,14.7,5.5,0.5,71,17.7,1,1.4,350
Mushroom & Cheese,Toasties,Vaues include shredded mozzarella on italian white bread,99.3,196,10.2,9.5,5.3,0.3,21,21.1,1.6,2.2,381
Brocolli & Cheese,Soups,,240,190,3.8,13.4,8.2,0,46,15.1,1.7,3.8,942
Rustic Tomato,Soups,,240,339,2,11,3.7,0,0,14.7,1.1,5.4,891
Wild Mushroom,Soups,,240,116,1.7,5.4,3.4,0,0,17.5,0.6,4,903
Hashbrown,Sides,,82.4,148,2,7.2,1.8,0.2,0,18.6,2.1,0.2,463
Macaroni & Cheese,Sides,,150,363,11.5,22.7,12.8,0,8,28.4,1.2,3.9,654
Chocolate Chip,Cookies,,45,217,2.4,10.4,6.5,0,14,28.5,0.9,17.5,161
Double Chocolate Chip,Cookies,,45,213,2.5,9.9,6.8,0,15,28.4,1.2,18.5,160
Oatmeal Raisin,Cookies,,45,190,2.5,6.9,3.4,0,12,29.3,1.4,17.5,176
Peanut Butter,Cookies,,45,214,3.6,11.3,4.6,0.1,12,25.4,1,15.7,152
Raspberry Cheesecake,Cookies,,45,204,2,8.8,5,0.1,12,29.5,0.5,15.8,176
White Chip Macadamia Nut,Cookies,,45,218,2.6,11,6.3,0,18,27.2,0.8,17.3,196
Flatbread,Breads,,86.4,234,8,4.9,0.9,0.1,0.3,39.6,1.5,2,467
Subway 6-Inch® Garlic Bread,Breads,,71,194,7.2,2.2,0.8,0,0,36.2,1.8,2.9,436
Subway 6-Inch® Honey Oat Bread,Breads,,80.6,228,11.6,2.5,0.7,0,0,33.8,4.3,6.1,316
Subway 6-Inch Italian White Bread,Breads,,67.5,182,7,2,0.7,0,0,33.8,1.8,2.2,280
